t,ax,ay,az
1691500,9.42,0.09,-18.12
1696068,14.40,-0.05,-26.44
1700704,16.09,-0.47,-29.31
1705340,12.79,0.13,-23.77
1709972,6.98,-0.56,-13.58
1714576,-2.86,-0.21,3.49
1719136,-11.19,-0.06,17.67
1723776,-20.14,-0.68,32.54
1728440,-25.42,0.09,41.40
1733064,-26.22,-0.44,42.25
1737684,-22.51,-0.50,36.24
1742332,-14.66,-0.12,23.09
1746996,-6.72,-0.80,9.50
1751548,3.10,-0.18,-7.06
1756084,9.55,-0.15,-18.22
1760676,14.24,-0.51,-26.73
1765336,14.57,0.11,-27.10
1769968,10.79,-0.35,-20.53
1774620,3.21,-0.25,-7.59
1779164,-4.51,0.01,6.00
1783692,-14.09,-0.72,22.03
1788336,-20.20,-0.29,32.30
1792992,-24.58,-0.43,39.82
1797644,-24.24,-0.50,39.07
1802288,-20.58,-0.04,33.03
1806920,-12.79,-0.58,20.22
1811568,-3.40,-0.20,4.11
1816108,3.90,-0.13,-8.45
1820652,10.63,-0.46,-19.88
1825296,13.30,0.02,-24.82
1829928,12.61,-0.36,-23.76
1834560,7.57,-0.32,-15.02
1839128,1.29,-0.02,-4.41
1843664,-7.78,-0.67,11.17
1848280,-14.76,-0.32,23.08
1852924,-21.22,-0.43,33.86
1857588,-23.62,-0.77,37.88
1862232,-22.60,-0.26,36.22
1866888,-17.37,-0.57,27.54
1871536,-11.01,-0.43,17.06
1876192,-2.17,-0.02,2.04
1880736,5.82,-0.40,-11.66
1885320,10.25,-0.02,-19.41
1889952,12.37,-0.09,-23.24
1894596,10.98,-0.49,-20.75
1899244,5.78,-0.13,-11.93
1903836,-2.04,-0.52,1.59
1908384,-9.05,-0.40,13.15
1912984,-16.78,-0.31,26.04
1917632,-20.93,-0.66,33.15
1922284,-22.61,-0.31,35.99
1926940,-20.17,-0.56,32.14
1931580,-15.63,-0.47,24.41
1936240,-7.76,-0.18,11.12
1940840,0.56,-0.40,-2.65
1945376,6.12,-0.12,-12.20
1949968,10.51,-0.04,-19.74
1954604,11.20,-0.25,-21.12
1959244,8.54,-0.03,-16.53
1963840,4.01,-0.37,-8.70
1968360,-3.69,-0.39,4.46
1972912,-11.63,-0.36,17.82
1977568,-16.98,-0.63,26.44
1982228,-21.03,-0.33,33.30
1986868,-21.55,-0.42,34.10
1991524,-18.62,-0.41,29.13
1996180,-12.53,-0.17,18.98
2000840,-6.29,-0.43,8.59
2005396,1.41,-0.28,-4.38
2009944,6.31,-0.22,-12.71
2014536,9.95,-0.34,-18.68
2019128,9.71,-0.11,-18.45
2023720,6.93,-0.28,-13.79
2028328,1.01,-0.29,-3.47
2032852,-5.05,-0.19,6.71
2037396,-12.42,-0.43,19.20
2042056,-17.19,-0.42,26.97
2046708,-20.45,-0.37,32.36
2051368,-19.96,-0.45,31.58
2056020,-17.06,-0.30,26.55
2060660,-10.91,-0.46,16.36
2065316,-3.62,-0.35,3.76
2069860,2.02,-0.24,-5.64
2074400,7.17,-0.41,-14.47
2078996,9.22,-0.27,-17.80
2083592,8.52,-0.30,-16.61
2088176,5.48,-0.36,-11.46
2092776,-0.53,-0.18,-0.99
2097336,-7.69,-0.31,11.22
2101940,-13.10,-0.25,20.20
2106596,-18.03,-0.31,28.51
2111248,-19.75,-0.44,31.41
2115892,-18.73,-0.39,29.51
2120552,-14.53,-0.45,22.55
2125200,-9.48,-0.45,14.08
2129808,-2.53,-0.34,2.02
2134356,3.69,-0.34,-8.35
2138900,7.00,-0.19,-14.24
2143472,8.47,-0.27,-16.84
2148076,7.20,-0.37,-14.66
2152668,3.02,-0.21,-7.31
2157196,-1.89,-0.37,1.15
2161748,-8.67,-0.35,12.68
2166340,-13.51,-0.27,20.85
2170960,-17.76,-0.40,28.04
2175596,-18.91,-0.36,30.11
2180248,-17.48,-0.40,27.56
2184896,-13.12,-0.39,20.27
2189548,-6.93,-0.39,9.63
2194104,-1.67,-0.45,0.68
2198656,3.90,-0.19,-8.67
2203184,6.69,-0.20,-13.63
2207776,7.58,-0.23,-15.23
2212372,5.98,-0.20,-12.46
2216964,1.57,-0.34,-4.97
2221504,-3.23,-0.37,3.21
2226028,-9.52,-0.40,14.02
2230624,-13.87,-0.53,21.39
2235284,-17.43,-0.41,27.29
2239940,-18.04,-0.44,28.34
2244592,-16.22,-0.43,25.40
2249240,-11.75,-0.32,17.96
2253900,-5.75,-0.32,7.84
2258448,-0.90,-0.29,-0.44
2263000,4.03,-0.22,-8.73
2267532,6.36,-0.28,-12.99
2272132,6.65,-0.16,-13.48
2276724,4.69,-0.31,-10.36
2281324,0.25,-0.34,-2.60
2285848,-5.60,-0.36,7.17
2290408,-10.24,-0.45,15.10
2295056,-14.96,-0.39,22.90
2299700,-17.02,-0.41,26.58
2304344,-17.06,-0.53,26.49
2309000,-14.25,-0.28,21.93
2313640,-10.46,-0.32,15.65
2318300,-4.67,-0.31,5.90
2322848,-0.23,-0.19,-1.65
2327404,4.04,-0.26,-8.95
2331932,6.00,-0.17,-12.43
2336520,5.71,-0.25,-11.62
2341112,2.74,-0.39,-6.79
2345652,-1.07,-0.34,-0.49
2350200,-6.67,-0.41,9.04
2354748,-10.90,-0.42,16.18
2359404,-14.93,-0.39,23.06
2364048,-16.66,-0.44,25.90
2368700,-16.09,-0.42,24.82
2373356,-13.00,-0.40,19.73
2378004,-9.19,-0.39,13.46
2382620,-3.72,-0.33,4.24
2387172,1.24,-0.29,-4.19
2391704,4.02,-0.22,-8.99
2396244,5.46,-0.20,-11.37
2400796,4.66,-0.30,-9.96
2405344,1.53,-0.26,-4.64
2409888,-2.20,-0.28,1.83
2414448,-7.57,-0.39,10.78
2419044,-11.42,-0.36,17.22
2423704,-14.92,-0.40,22.95
2428352,-16.07,-0.37,24.82
2433000,-15.06,-0.36,23.17
2437644,-11.83,-0.34,17.72
2442296,-7.05,-0.29,9.60
2446840,-2.91,-0.32,2.65
2451376,1.51,-0.32,-4.86
2455924,3.96,-0.29,-8.92
2460436,4.76,-0.27,-10.43
2465028,3.65,-0.29,-8.48
2469568,0.42,-0.21,-2.73
2474108,-3.36,-0.29,3.55
2478656,-8.38,-0.31,12.06
2483272,-11.82,-0.36,17.93
2487916,-14.80,-0.36,22.92
2492576,-15.40,-0.34,23.83
2497228,-14.16,-0.39,21.63
2501876,-10.66,-0.34,15.99
2506532,-6.05,-0.41,7.82
2511072,-2.21,-0.36,1.40
2515612,1.75,-0.29,-5.34
2520152,3.68,-0.33,-8.68
2524696,4.10,-0.27,-9.43
2529248,2.68,-0.25,-6.96
2533792,-0.77,-0.30,-1.01
2538344,-4.33,-0.26,5.23
2542888,-8.98,-0.30,13.08
2547492,-12.18,-0.38,18.37
2552136,-14.51,-0.38,22.48
2556796,-14.66,-0.40,22.73
2561440,-13.16,-0.36,20.14
2566104,-9.66,-0.40,14.22
2570708,-5.15,-0.33,6.46
2575272,-1.59,-0.33,0.41
2579816,1.91,-0.33,-5.51
2584368,3.44,-0.24,-8.26
2588900,3.39,-0.20,-8.08
2593424,1.76,-0.34,-5.34
2597972,-1.81,-0.28,0.70
2602516,-5.24,-0.35,6.68
2607084,-9.55,-0.42,13.92
2611696,-12.88,-0.36,19.53
2616360,-14.15,-0.41,21.79
2621004,-13.87,-0.27,21.41
2625664,-12.20,-0.30,18.60
2630296,-8.64,-0.39,12.66
2634900,-4.33,-0.30,5.22
2639436,-1.07,-0.34,-0.23
2643988,1.93,-0.29,-5.40
2648516,3.01,-0.23,-7.40
2653052,2.53,-0.30,-6.63
2657584,0.73,-0.36,-3.66
2662128,-2.73,-0.35,2.30
2666680,-6.04,-0.38,8.03
2671216,-9.99,-0.48,14.68
2675824,-12.34,-0.42,18.56
2680464,-13.75,-0.45,21.01
2685116,-13.10,-0.38,19.87
2689768,-11.26,-0.33,16.83
2694424,-7.66,-0.35,10.90
2699024,-3.66,-0.29,4.08
2703568,-0.78,-0.22,-0.85
2708112,1.83,-0.27,-5.27
2712652,2.56,-0.26,-6.57
2717196,1.71,-0.31,-5.11
2721752,-0.18,-0.30,-1.90
2726296,-3.70,-0.29,3.96
2730852,-6.86,-0.44,9.27
2735404,-10.39,-0.42,15.07
2740060,-12.67,-0.45,19.05
2744660,-13.24,-0.42,20.10
2749316,-12.33,-0.37,18.41
2753976,-10.24,-0.33,15.15
2758632,-6.78,-0.38,9.26
2763176,-3.02,-0.27,2.83
2767736,-0.44,-0.29,-1.49
2772280,1.67,-0.27,-4.98
2776812,2.11,-0.25,-5.70
2781352,0.91,-0.31,-3.68
2785880,-1.15,-0.30,-0.23
2790432,-4.57,-0.27,5.58
2794984,-7.54,-0.39,10.44
2799596,-10.61,-0.37,15.71
2804220,-12.51,-0.36,18.85
2808876,-12.72,-0.34,19.19
2813524,-11.47,-0.43,17.03
2818180,-9.30,-0.41,13.50
2822776,-5.91,-0.38,7.69
2827340,-2.41,-0.32,1.80
2831876,-0.23,-0.31,-2.01
2836436,1.43,-0.28,-4.72
2840988,1.45,-0.27,-4.82
2845528,0.17,-0.28,-2.31
2850072,-1.98,-0.24,1.22
2854632,-5.37,-0.32,6.94
2859192,-8.08,-0.30,11.51
2863788,-10.82,-0.34,16.06
2868440,-12.28,-0.39,18.52
2873100,-12.24,-0.38,18.36
2877744,-10.69,-0.34,15.78
2882400,-8.48,-0.40,12.04
2886988,-5.20,-0.35,6.47
2891548,-2.07,-0.37,1.07
2896088,-0.08,-0.33,-2.27
2900628,1.17,-0.24,-4.34
2905168,0.97,-0.25,-3.87
2909708,-0.74,-0.31,-1.14
2914280,-2.87,-0.29,2.67
2918832,-6.10,-0.36,8.15
2923396,-8.52,-0.36,12.24
2928012,-10.93,-0.32,16.27
2932672,-11.95,-0.45,18.15
2937328,-11.64,-0.33,17.44
2941988,-9.88,-0.39,14.50
2946592,-7.70,-0.42,10.73
2951204,-4.57,-0.32,5.41
2955760,-1.67,-0.35,0.54
2960316,-0.02,-0.25,-2.40
2964852,0.78,-0.23,-3.82
2969392,0.29,-0.34,-2.90
2973912,-1.44,-0.29,0.13
2978456,-3.67,-0.33,3.90
2983008,-6.65,-0.41,9.06
2987556,-8.96,-0.42,12.78
2992168,-10.90,-0.40,16.34
2996800,-11.55,-0.36,17.30
3001452,-11.05,-0.34,16.43
3006096,-9.16,-0.32,13.23
3010708,-6.91,-0.29,9.50
3015256,-3.92,-0.25,4.51
3019812,-1.93,-0.27,0.96
3024368,-0.12,-0.32,-2.24
3028932,0.34,-0.29,-2.99
3033460,-0.31,-0.31,-1.78
3038032,-2.21,-0.28,1.36
3042576,-4.34,-0.34,5.12
3047132,-7.19,-0.37,9.84
3051692,-9.17,-0.40,13.14
3056280,-10.78,-0.40,15.96
3060936,-11.10,-0.42,16.50
3065580,-10.35,-0.28,15.22
3070240,-8.32,-0.35,12.00
3074836,-6.22,-0.31,8.44
3079388,-3.51,-0.31,3.77
3083932,-1.70,-0.32,0.62
3088472,-0.28,-0.32,-1.87
3092996,-0.07,-0.30,-2.25
3097556,-0.96,-0.36,-0.67
3102108,-2.96,-0.36,2.71
3106668,-5.09,-0.32,6.14
3111216,-7.67,-0.33,10.62
3115832,-9.36,-0.39,13.50
3120424,-10.66,-0.35,15.67
3125080,-10.70,-0.35,15.79
3129716,-9.68,-0.35,14.12
3134332,-7.55,-0.33,10.69
3138932,-5.56,-0.35,7.24
3143496,-3.12,-0.28,3.07
3148036,-1.51,-0.32,0.44
